,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS#,LATITUDE,LONGITUDE,Average School Rating
361,12371 Magnolia St,Garden Grove,CA,92841,774987,3,2,1392,8050,1960,17,557,http://www.redfin.com/CA/Garden-Grove/12371-Magnolia-St-92841/home/3654516,SW21172082,33.7827637,-117.9756727,7
362,13682 Hazel St,Garden Grove,CA,92844,749950,4,2,1390,7200,1962,18,540,http://www.redfin.com/CA/Garden-Grove/13682-Hazel-St-92844/home/3443686,OC21171647,33.763913,-117.9738425,6
363,12461 Tunstall Cir,Garden Grove,CA,92845,848000,4,2,1973,6400,1964,20,430,http://www.redfin.com/CA/Garden-Grove/12461-Tunstall-Cir-92845/home/3926650,PW21169495,33.7814614,-118.0335086,9.333
364,11422 Larkin Dr,Garden Grove,CA,92841,1150000,3,2.75,2656,11200,1955,20,433,http://www.redfin.com/CA/Garden-Grove/11422-Larkin-Dr-92841/home/3643039,PW21158252,33.7967238,-117.9645767,6.333
365,9862 Aldgate Ave,Garden Grove,CA,92841,1229000,7,4,2500,8192,1955,23,492,http://www.redfin.com/CA/Garden-Grove/9862-Aldgate-Ave-92841/home/3642206,PW21167255,33.8007274,-117.961122,6.333
366,12652 Magnolia St,Garden Grove,CA,92841,849000,4,2,1838,7165,1951,25,462,http://www.redfin.com/CA/Garden-Grove/12652-Magnolia-St-92841/home/3655535,PW21166078,33.7789295,-117.9750779,7.333
367,10762 Lotus Dr,Garden Grove,CA,92843,998000,5,4,2992,3277,2013,25,334,http://www.redfin.com/CA/Garden-Grove/10762-Lotus-Dr-92843/home/51681840,PW21165996,33.7525839,-117.9417585,7.667
368,11941 Della Ln,Garden Grove,CA,92840,920000,4,2,1329,10157,1954,25,692,http://www.redfin.com/CA/Garden-Grove/11941-S-Della-Ln-92840/home/3406206,PW21164662,33.7894422,-117.9388589,7.333
369,5582 Park Ave,Garden Grove,CA,92845,948000,5,2,2013,6435,1967,26,471,http://www.redfin.com/CA/Garden-Grove/5582-Park-Ave-92845/home/3924635,PW21164966,33.7797153,-118.0358306,9.333
370,11692 Magnolia St,Garden Grove,CA,92841,839000,3,2.5,1320,7200,1955,26,636,http://www.redfin.com/CA/Garden-Grove/11692-Magnolia-St-92841/home/3646996,OC21164894,33.7928864,-117.9752152,6.667
