,Listing URL,School Name,School Rating,School Type,School Grades
894,http://www.redfin.com/CA/Costa-Mesa/3017-Ceylon-Rd-92626/home/3694620,Charles W. Tewinkle Middle,4.0,Public,7 to 8
895,http://www.redfin.com/CA/Costa-Mesa/3017-Ceylon-Rd-92626/home/3694620,Estancia High,5.0,Public,9 to 12
896,http://www.redfin.com/CA/Newport-Beach/2297-La-Linda-Ct-92660/home/4595777,Woodland Elementary,issue,Public,K to 2
897,http://www.redfin.com/CA/Newport-Beach/2297-La-Linda-Ct-92660/home/4595777,Heinz Kaiser Elementary,8.0,Public,3 to 6
898,http://www.redfin.com/CA/Newport-Beach/2297-La-Linda-Ct-92660/home/4595777,Horace Ensign Intermediate,7.0,Public,7 to 8
899,http://www.redfin.com/CA/Newport-Beach/2297-La-Linda-Ct-92660/home/4595777,Newport Harbor High,7.0,Public,9 to 12
900,http://www.redfin.com/CA/Costa-Mesa/3398-Carmel-Dr-92626/home/4533972,Paularino Elementary,7.0,Public,K to 6
901,http://www.redfin.com/CA/Costa-Mesa/3398-Carmel-Dr-92626/home/4533972,Costa Mesa High,6.0,Public,7 to 12
902,http://www.redfin.com/CA/Costa-Mesa/3398-Carmel-Dr-92626/home/4533972,Calvary Chapel High / Maranatha Christian,issue,Private,K to 12
903,http://www.redfin.com/CA/Costa-Mesa/3398-Carmel-Dr-92626/home/4533972,Segerstrom High,6.0,Public,9 to 12
904,http://www.redfin.com/CA/Costa-Mesa/3398-Carmel-Dr-92626/home/4533972,Calvary Chapel High/maranatha Christian Academy,issue,Private,Preschool to 12
905,http://www.redfin.com/CA/Costa-Mesa/1813-Fullerton-Ave-92627/home/4594033,Woodland Elementary,issue,Public,K to 2
906,http://www.redfin.com/CA/Costa-Mesa/1813-Fullerton-Ave-92627/home/4594033,Heinz Kaiser Elementary,8.0,Public,3 to 6
907,http://www.redfin.com/CA/Costa-Mesa/1813-Fullerton-Ave-92627/home/4594033,Horace Ensign Intermediate,7.0,Public,7 to 8
908,http://www.redfin.com/CA/Costa-Mesa/1813-Fullerton-Ave-92627/home/4594033,Newport Harbor High,7.0,Public,9 to 12
909,http://www.redfin.com/CA/Newport-Beach/501-San-Bernardino-Ave-92663/home/3241724,Newport Heights Elementary,8.0,Public,K to 6
910,http://www.redfin.com/CA/Newport-Beach/501-San-Bernardino-Ave-92663/home/3241724,Horace Ensign Intermediate,7.0,Public,7 to 8
