,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS#,LATITUDE,LONGITUDE,Average School Rating,Crime per Capita (1000s)
1053,42 La Sordina,Rancho Santa Margarita,CA,92688,1025000,4,2.5,2190.0,4160.0,1996.0,29.0,468.0,http://www.redfin.com/CA/Rancho-Santa-Margarita/42-La-Sordina-92688/home/5115238,OC21162630,33.6557292,-117.6198533,7.0,1.4807399528665874
1054,6 Paseo Azuceno,Rancho Santa Margarita,CA,92688,815000,3,2.5,1500.0,2800.0,1998.0,35.0,543.0,http://www.redfin.com/CA/Rancho-Santa-Margarita/6-Pso-Azuceno-92688/home/5089678,OC21157201,33.6417035,-117.58921570000001,6.25,1.4807399528665874
1055,21341 Pinebluff Dr,Rancho Santa Margarita,CA,92679,1275000,4,2.5,2479.0,7000.0,1992.0,39.0,514.0,http://www.redfin.com/CA/Trabuco-Canyon/21341-Pinebluff-Dr-92679/home/5098050,OC21154147,33.6526826,-117.56336529999999,6.5,1.4807399528665874
1056,2857 Campo Raso,San Clemente,CA,92673,1199000,4,2.0,1329.0,10800.0,1984.0,10.0,902.0,http://www.redfin.com/CA/San-Clemente/2857-Campo-Raso-92673/home/4976076,OC21172081,33.4646805,-117.6265923,7.667,3.2351889008134633
1057,370 Camino San Clemente,San Clemente,CA,92672,800000,2,2.0,1204.0,2032.0,1964.0,44.0,664.0,http://www.redfin.com/CA/San-Clemente/370-Camino-San-Clemente-92672/home/5004261,OC21150099,33.440971600000005,-117.63980020000001,6.333,3.2351889008134633
1058,19 Calle Tamara,San Clemente,CA,92673,3100000,7,6.0,5293.0,9786.0,2015.0,1.0,586.0,http://www.redfin.com/CA/San-Clemente/19-Calle-Tamara-92673/home/7204858,OC21185186,33.482496000000005,-117.5893135,8.0,3.2351889008134633
1059,10 Calle Clasico,San Clemente,CA,92673,1043900,4,2.5,2248.0,3070.0,2000.0,1.0,464.0,http://www.redfin.com/CA/San-Clemente/10-Calle-Clasico-92673/home/5775744,LG21185381,33.4690348,-117.63553130000001,7.667,3.2351889008134633
1060,23 Via Divertirse,San Clemente,CA,92673,2100000,5,5.5,4631.0,9245.0,2006.0,1.0,453.0,http://www.redfin.com/CA/San-Clemente/23-Via-Divertirse-92673/home/5932601,OC21185354,33.4788759,-117.6047243,8.0,3.2351889008134633
1061,109 Avenida Patero De Oro,San Clemente,CA,92672,1500000,4,3.0,2780.0,9000.0,1977.0,2.0,540.0,http://www.redfin.com/CA/San-Clemente/109-Avenida-Patero-De-Oro-92672/home/3268901,OC21037574,33.4312495,-117.61143700000001,6.333,3.2351889008134633
1062,9 Calle Pacifica,San Clemente,CA,92673,1875000,4,3.5,3601.0,10958.0,2001.0,3.0,521.0,http://www.redfin.com/CA/San-Clemente/9-Calle-Pacifica-92673/home/5820229,OC21183241,33.465878700000005,-117.5866595,8.0,3.2351889008134633
1063,762 Calle Los Olivos,San Clemente,CA,92673,699900,2,2.0,1012.0,2880.0,1972.0,5.0,692.0,http://www.redfin.com/CA/San-Clemente/762-Calle-Los-Olivos-92673/home/4972111,OC21181800,33.462285800000004,-117.6505712,6.667,3.2351889008134633
1064,4703 Aqua Del Caballete,San Clemente,CA,92673,1350000,5,3.0,3096.0,5963.0,2001.0,5.0,436.0,http://www.redfin.com/CA/San-Clemente/4703-Aqua-Del-Caballete-92673/home/5818848,OC21177047,33.4690463,-117.6240709,7.667,3.2351889008134633
1065,185 E Avenida Cordoba,San Clemente,CA,92672,1899000,4,2.25,2455.0,12600.0,1953.0,6.0,774.0,http://www.redfin.com/CA/San-Clemente/185-E-Avenida-Cordoba-92672/home/4991807,OC21179981,33.4210361,-117.6049993,7.333,3.2351889008134633
1066,6 Via Chapala,San Clemente,CA,92673,2289000,5,4.5,4500.0,10019.0,1990.0,8.0,509.0,http://www.redfin.com/CA/San-Clemente/6-Via-Chapala-92673/home/4974056,OC21164493,33.4641575,-117.64747220000001,6.667,3.2351889008134633
1067,83 Marbella,San Clemente,CA,92673,2295000,4,2.75,4180.0,10000.0,1985.0,9.0,549.0,http://www.redfin.com/CA/San-Clemente/83-Marbella-92673/home/4974672,OC21169019,33.466373600000004,-117.64607420000002,6.667,3.2351889008134633
1068,308 W Paseo De Cristobal,San Clemente,CA,92672,2695000,3,2.0,1870.0,8645.0,1951.0,10.0,1441.0,http://www.redfin.com/CA/San-Clemente/308-W-Paseo-De-Cristobal-92672/home/5009766,OC21178190,33.416699300000005,-117.61412279999999,7.333,3.2351889008134633
1069,247 Camino San Clemente,San Clemente,CA,92672,849000,2,2.0,1204.0,2081.0,1964.0,11.0,705.0,http://www.redfin.com/CA/San-Clemente/247-Camino-San-Clemente-92672/home/5003494,OC21175191,33.4390894,-117.63989779999999,6.333,3.2351889008134633
1070,868 Avenida Acapulco,San Clemente,CA,92672,2399000,5,4.75,5204.0,60984.0,1982.0,12.0,461.0,http://www.redfin.com/CA/San-Clemente/868-Avenida-Acapulco-92672/home/4995265,PW21175338,33.4248464,-117.5936761,7.333,3.2351889008134633
1071,17 Via Picato,San Clemente,CA,92673,1650000,4,3.0,3209.0,10126.0,2005.0,16.0,514.0,http://www.redfin.com/CA/San-Clemente/17-Via-Picato-92673/home/5950760,OC21172822,33.465474900000004,-117.6012857,8.0,3.2351889008134633
1072,3514 Calle Verano,San Clemente,CA,92673,1200000,3,3.0,1464.0,1392.0,1972.0,17.0,820.0,http://www.redfin.com/CA/San-Clemente/3514-Calle-Verano-92673/home/4972099,OC21170542,33.461686300000004,-117.65109170000001,6.667,3.2351889008134633
1073,208 W Avenida San Antonio,San Clemente,CA,92672,1800000,3,3.0,1846.0,7245.0,1965.0,17.0,975.0,http://www.redfin.com/CA/San-Clemente/208-W-Avenida-San-Antonio-92672/home/5010707,OC21171763,33.4131504,-117.6075209,7.333,3.2351889008134633
1074,2432 Calle Aquamarina,San Clemente,CA,92673,1550000,3,2.5,2678.0,5100.0,1996.0,18.0,579.0,http://www.redfin.com/CA/San-Clemente/2432-Calle-Aquamarina-92673/home/4977311,OC21171167,33.4532795,-117.62022009999998,6.333,3.2351889008134633
